,Unnamed: 0,Company name,Date,Ticker,Industry,Country,Temperature Rise Limit,Industry Rating,Laggard,Average,Leader,comprehensiveness - % of company footprint covered by target
192,1406,"ZSCALER, INC.",2023-05-25,(ZS),Industry: Software & Services,Country/Region: United States of America,"An Implied Temperature Rise of below 1.5°C indicates that ZSCALER, INC. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",Zscaler is a leader among 110 companies in the software & services industry.,"Zscaler is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, PRIVACY & DATA SECURITY, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, PRIVACY & DATA SECURITY, CARBON EMISSIONS, ","Zscaler is not a leader on any of the Key Issues that we evaluated for its industry., ",
193,1407,UBISOFT ENTERTAINMENT SA,2023-05-25,(CZR),Industry: Casinos & Gaming,Country/Region: United States of America,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that CAESARS ENTERTAINMENT, INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.",Caesar Entertainment is Average among 17 companies in the casinos & gaming industry.,"LABOR MANAGEMENT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, CARBON EMISSIONS, ","WATER STRESS, ",18.98%
194,1410,SILERGY CORP.,2023-05-25,(6415),Industry: Semiconductors & Semiconductor Equipment,Country/Region: China,An Implied Temperature Rise of between 2°C and 3.2°C indicates that SILERGY CORP. is misaligned with global climate goals and is in line with a business-as-usual scenario.,SILERGY is Average among 90 companies in the semiconductors & semiconductor equipment industry.,"CONTROVERSIAL SOURCING, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, OPPORTUNITIES IN CLEAN TECH, ","SILERGY is not a leader on any of the Key Issues that we evaluated for its industry., ",
195,1411,"Hangzhou Silan Microelectronics Co., Ltd.",2023-05-25,(600460),Industry: Semiconductors & Semiconductor Equipment,Country/Region: China,"An Implied Temperature Rise of between 2°C and 3.2°C indicates that Hangzhou Silan Microelectronics Co., Ltd. is misaligned with global climate goals and is in line with a business-as-usual scenario.",Silan Micro is a laggard among 90 companies in the semiconductors & semiconductor equipment industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, WATER STRESS, CONTROVERSIAL SOURCING, ","HUMAN CAPITAL DEVELOPMENT, OPPORTUNITIES IN CLEAN TECH, ","Silan Micro is not a leader on any of the Key Issues that we evaluated for its industry., ",
196,1412,"Hoshine Silicon Industry Co., Ltd.",2023-05-25,(603260),Industry: Specialty Chemicals,Country/Region: China,"An Implied Temperature Rise of above 3.2°C indicates that Hoshine Silicon Industry Co., Ltd. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",Hoshine Silicon is a laggard among 70 companies in the specialty chemicals industry.,"CORPORATE BEHAVIOR, CARBON EMISSIONS, WATER STRESS, TOXIC EMISSIONS & WASTE, CHEMICAL SAFETY, OPPORTUNITIES IN CLEAN TECH, LABOR MANAGEMENT, ","CORPORATE GOVERNANCE, ","Hoshine Silicon is not a leader on any of the Key Issues that we evaluated for its industry., ",
197,1413,"National Silicon Industry Group Co., Ltd.",2023-05-25,(603260),Industry: Specialty Chemicals,Country/Region: China,"An Implied Temperature Rise of above 3.2°C indicates that Hoshine Silicon Industry Co., Ltd. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",Hoshine Silicon is a laggard among 70 companies in the specialty chemicals industry.,"CORPORATE BEHAVIOR, CARBON EMISSIONS, WATER STRESS, TOXIC EMISSIONS & WASTE, CHEMICAL SAFETY, OPPORTUNITIES IN CLEAN TECH, LABOR MANAGEMENT, ","CORPORATE GOVERNANCE, ","Hoshine Silicon is not a leader on any of the Key Issues that we evaluated for its industry., ",
198,1414,Pan American Silver Corp.,2023-05-25,(PAAS),Industry: Metals and Mining - Precious Metals,Country/Region: Canada,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Pan American Silver Corp. is misaligned with global climate goals and is in line with a business-as-usual scenario.,Pan American is Average among 23 companies in the metals and mining - precious metals industry.,"TOXIC EMISSIONS & WASTE, BIODIVERSITY & LAND USE, ","CORPORATE GOVERNANCE, HEALTH & SAFETY, COMMUNITY RELATIONS, LABOR MANAGEMENT, WATER STRESS, ","CORPORATE BEHAVIOR, ",31.94%
199,1585,ARAMARK,2023-05-25,(ARMK),Industry: Restaurants,Country/Region: United States of America,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that ARAMARK is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Aramark is Average among 16 companies in the restaurants industry.,"PRODUCT SAFETY & QUALITY, ","CORPORATE GOVERNANCE, LABOR MANAGEMENT, PACKAGING MATERIAL & WASTE, ","CORPORATE BEHAVIOR, OPPORTUNITIES IN NUTRITION & HEALTH, RAW MATERIAL SOURCING, ",
200,1586,"Yihai Kerry Arawana Holdings Co., Ltd",2023-05-25,(300999),Industry: Food Products,Country/Region: China,"An Implied Temperature Rise of above 3.2°C indicates that Yihai Kerry Arawana Holdings Co., Ltd is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",YKA is Average among 81 companies in the food products industry.,"CORPORATE GOVERNANCE, WATER STRESS, RAW MATERIAL SOURCING, ","OPPORTUNITIES IN NUTRITION & HEALTH, PACKAGING MATERIAL & WASTE, PRODUCT CARBON FOOTPRINT, ","CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, ",
201,1587,Saudi Arabian Oil Company,2023-05-25,(2222),Industry: Integrated Oil & Gas,Country/Region: Saudi Arabia,An Implied Temperature Rise of above 3.2°C indicates that Saudi Arabian Oil Company is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Aramco is Average among 22 companies in the integrated oil & gas industry.,"CORPORATE GOVERNANCE, COMMUNITY RELATIONS, ","CORPORATE BEHAVIOR, BIODIVERSITY & LAND USE, CARBON EMISSIONS, HEALTH & SAFETY, TOXIC EMISSIONS & WASTE, ","Aramco is not a leader on any of the Key Issues that we evaluated for its industry., ",3.18%
202,1588,Saudi Arabian Mining Company SJSC,2023-05-25,(1211),Industry: Metals and Mining - Non-Precious Metals,Country/Region: Saudi Arabia,An Implied Temperature Rise of above 3.2°C indicates that Saudi Arabian Mining Company SJSC is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Ma'aden is Average among 72 companies in the metals and mining - non-precious metals industry.,"CORPORATE GOVERNANCE, WATER STRESS, ","CORPORATE BEHAVIOR, HEALTH & SAFETY, TOXIC EMISSIONS & WASTE, ","BIODIVERSITY & LAND USE, CARBON EMISSIONS, COMMUNITY RELATIONS, LABOR MANAGEMENT, ",16.1%
203,1589,Mobile Telecommunications Company Saudi Arabia SJSC,2023-05-25,(7030),Industry: Telecommunication Services,Country/Region: Saudi Arabia,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Mobile Telecommunications Company Saudi Arabia SJSC is misaligned with global climate goals and is in line with a business-as-usual scenario.,Zain Saudi Arabia (Zain KSA) is Average among 66 companies in the telecommunication services industry.,"PRIVACY & DATA SECURITY, LABOR MANAGEMENT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CARBON EMISSIONS, ","Zain Saudi Arabia (Zain KSA) is not a leader on any of the Key Issues that we evaluated for its industry., ",
204,1590,Bupa Arabia for Cooperative Insurance Company SJSC,2023-05-25,(8210),Industry: Life & Health Insurance,Country/Region: Saudi Arabia,An Implied Temperature Rise of below 1.5°C indicates that Bupa Arabia for Cooperative Insurance Company SJSC is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Bupa Arabia is a laggard among 40 companies in the life & health insurance industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRIVACY & DATA SECURITY, RESPONSIBLE INVESTMENT, CLIMATE CHANGE VULNERABILITY, ","HUMAN CAPITAL DEVELOPMENT, ACCESS TO FINANCE, ","Bupa Arabia is not a leader on any of the Key Issues that we evaluated for its industry., ",
205,1591,Arab National Bank,2023-05-25,(1080),Industry: Banks,Country/Region: Saudi Arabia,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Arab National Bank is misaligned with global climate goals and is in line with a business-as-usual scenario.,Arab National Bank is Average among 197 companies in the banks industry.,"CORPORATE BEHAVIOR, FINANCING ENVIRONMENTAL IMPACT, ACCESS TO FINANCE, PRIVACY & DATA SECURITY, ","CORPORATE GOVERNANCE, CONSUMER FINANCIAL PROTECTION, HUMAN CAPITAL DEVELOPMENT, ","Arab National Bank is not a leader on any of the Key Issues that we evaluated for its industry., ",
206,1620,HOYA CORPORATION,2023-05-25,(7741),Industry: Health Care Equipment & Supplies,Country/Region: Japan,An Implied Temperature Rise of between 2°C and 3.2°C indicates that HOYA CORPORATION is misaligned with global climate goals and is in line with a business-as-usual scenario.,HOYA is a leader among 83 companies in the health care equipment & supplies industry.,"HOYA is not a laggard on any of the Key Issues that we evaluated for its industry., HUMAN CAPITAL DEVELOPMENT, WATER STRESS, CARBON EMISSIONS, ","HUMAN CAPITAL DEVELOPMENT, WATER STRESS, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, ",
207,1624,RITCHIE BROS. AUCTIONEERS INCORPORATED,2023-05-25,(RBA),Industry: Commercial Services & Supplies,Country/Region: Canada,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that RITCHIE BROS. AUCTIONEERS INCORPORATED is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Ritchie Bros is a leader among 23 companies in the commercial services & supplies industry.,"Ritchie Bros is not a laggard on any of the Key Issues that we evaluated for its industry., Ritchie Bros does not score in the average range on any of the Key Issues that we evaluated for its industry., ","Ritchie Bros does not score in the average range on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, CARBON EMISSIONS, ",
208,1625,AUCKLAND INTERNATIONAL AIRPORT LIMITED,2023-05-25,(AIA),Industry: Transportation Infrastructure,Country/Region: New Zealand,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that AUCKLAND INTERNATIONAL AIRPORT LIMITED is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Auckland Airport is a leader among 24 companies in the transportation infrastructure industry.,"Auckland Airport is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, COMMUNITY RELATIONS, ","CORPORATE GOVERNANCE, COMMUNITY RELATIONS, ","CORPORATE BEHAVIOR, BIODIVERSITY & LAND USE, HEALTH & SAFETY, ",11.28%
209,1636,HINDALCO INDUSTRIES LIMITED,2023-05-25,(HINDALCO),Industry: Metals and Mining - Non-Precious Metals,Country/Region: India,An Implied Temperature Rise of between 2°C and 3.2°C indicates that HINDALCO INDUSTRIES LIMITED is misaligned with global climate goals and is in line with a business-as-usual scenario.,Hindalco is Average among 72 companies in the metals and mining - non-precious metals industry.,"LABOR MANAGEMENT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CARBON EMISSIONS, HEALTH & SAFETY, WATER STRESS, ","TOXIC EMISSIONS & WASTE, ",81.16%
210,1637,HINDUSTAN UNILEVER LIMITED,2023-05-25,(HINDUNILVR),Industry: Household & Personal Products,Country/Region: India,An Implied Temperature Rise of between 2°C and 3.2°C indicates that HINDUSTAN UNILEVER LIMITED is misaligned with global climate goals and is in line with a business-as-usual scenario.,HUL is Average among 30 companies in the household & personal products industry.,"WATER STRESS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, PRODUCT CARBON FOOTPRINT, RAW MATERIAL SOURCING, ","CHEMICAL SAFETY, PACKAGING MATERIAL & WASTE, ",
211,1638,HINDUSTAN PETROLEUM CORPORATION LIMITED,2023-05-25,(HINDPETRO),"Industry: Oil & Gas Refining, Marketing, Transportation & Storage",Country/Region: India,An Implied Temperature Rise of above 3.2°C indicates that HINDUSTAN PETROLEUM CORPORATION LIMITED is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,"HPCL is Average among 44 companies in the oil & gas refining, marketing, transportation & storage industry.","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, HEALTH & SAFETY, ","CARBON EMISSIONS, ","OPPORTUNITIES IN CLEAN TECH, ",2.36%
212,1696,QUALCOMM INCORPORATED,2023-05-25,(QCOM),Industry: Semiconductors & Semiconductor Equipment,Country/Region: United States of America,An Implied Temperature Rise of below 1.5°C indicates that QUALCOMM INCORPORATED is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Qualcomm is Average among 90 companies in the semiconductors & semiconductor equipment industry.,"Qualcomm is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CONTROVERSIAL SOURCING, ",100.0%
213,1697,QUANTA COMPUTER INC.,2023-05-25,(2382),"Industry: Technology Hardware, Storage & Peripherals",Country/Region: Taiwan,An Implied Temperature Rise of between 2°C and 3.2°C indicates that QUANTA COMPUTER INC. is misaligned with global climate goals and is in line with a business-as-usual scenario.,"Quanta is Average among 46 companies in the technology hardware, storage & peripherals industry.","LABOR MANAGEMENT, CONTROVERSIAL SOURCING, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ","Quanta is not a leader on any of the Key Issues that we evaluated for its industry., ",38.37%
214,1698,"QUANTA SERVICES, INC.",2023-05-25,(PWR),Industry: Construction & Engineering,Country/Region: United States of America,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that QUANTA SERVICES, INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.","Quanta Services, Inc. (Quanta) is a leader among 28 companies in the construction & engineering industry.","OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, HEALTH & SAFETY, ","CORPORATE BEHAVIOR, ",
215,1753,KYOCERA CORPORATION,2023-05-25,(6971),"Industry: Electronic Equipment, Instruments & Components",Country/Region: Japan,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that KYOCERA CORPORATION is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,"KYOCERA is Average among 71 companies in the electronic equipment, instruments & components industry.","KYOCERA is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, CHEMICAL SAFETY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, CHEMICAL SAFETY, ","OPPORTUNITIES IN CLEAN TECH, CONTROVERSIAL SOURCING, ",96.79%
216,1754,UPM-Kymmene Oyj,2023-05-25,(UPM),Industry: Paper & Forest Products,Country/Region: Finland,An Implied Temperature Rise of between 2°C and 3.2°C indicates that UPM-Kymmene Oyj is misaligned with global climate goals and is in line with a business-as-usual scenario.,UPM is a leader among 13 companies in the paper & forest products industry.,"BIODIVERSITY & LAND USE, LABOR MANAGEMENT, ","CORPORATE BEHAVIOR, CARBON EMISSIONS, TOXIC EMISSIONS & WASTE, RAW MATERIAL SOURCING, ","CORPORATE GOVERNANCE, WATER STRESS, ",100.0%
217,1755,"Kyowa Kirin Co., Ltd.",2023-05-25,(4151),Industry: Pharmaceuticals,Country/Region: Japan,"An Implied Temperature Rise of below 1.5°C indicates that Kyowa Kirin Co., Ltd. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",Kyowa Kirin is a leader among 77 companies in the pharmaceuticals industry.,"Kyowa Kirin is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, ACCESS TO HEALTH CARE, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, ACCESS TO HEALTH CARE, TOXIC EMISSIONS & WASTE, ","CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, HUMAN CAPITAL DEVELOPMENT, ",100.0%
218,1777,BOSTON SCIENTIFIC CORPORATION,2023-05-25,(BSX),Industry: Health Care Equipment & Supplies,Country/Region: United States of America,An Implied Temperature Rise of below 1.5°C indicates that BOSTON SCIENTIFIC CORPORATION is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Boston Scientific is Average among 83 companies in the health care equipment & supplies industry.,"PRODUCT SAFETY & QUALITY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, CARBON EMISSIONS, ","Boston Scientific is not a leader on any of the Key Issues that we evaluated for its industry., ",100.0%
219,1783,AMGEN INC.,2023-05-25,(AMGN),Industry: Biotechnology,Country/Region: United States of America,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that AMGEN INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Amgen is a leader among 40 companies in the biotechnology industry.,"Amgen is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ACCESS TO HEALTH CARE, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ACCESS TO HEALTH CARE, ","HUMAN CAPITAL DEVELOPMENT, PRODUCT SAFETY & QUALITY, TOXIC EMISSIONS & WASTE, ",5.04%
220,1800,Skshu Paint Co Ltd,2023-05-25,(603737),Industry: Commodity Chemicals,Country/Region: China,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Skshu Paint Co Ltd is misaligned with global climate goals and is in line with a business-as-usual scenario.,Skshu Paint is Average among 65 companies in the commodity chemicals industry.,"CHEMICAL SAFETY, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE BEHAVIOR, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, TOXIC EMISSIONS & WASTE, WATER STRESS, ",
221,1804,Boliden AB,2023-05-25,(BOL),Industry: Metals and Mining - Non-Precious Metals,Country/Region: Sweden,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Boliden AB is misaligned with global climate goals and is in line with a business-as-usual scenario.,Boliden is a leader among 72 companies in the metals and mining - non-precious metals industry.,"Boliden is not a laggard on any of the Key Issues that we evaluated for its industry., COMMUNITY RELATIONS, ","COMMUNITY RELATIONS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HEALTH & SAFETY, TOXIC EMISSIONS & WASTE, BIODIVERSITY & LAND USE, CARBON EMISSIONS, WATER STRESS, LABOR MANAGEMENT, ",
222,1805,"B3 S.A. - BRASIL, BOLSA, BALCAO",2023-05-25,(B3SA3),Industry: Diversified Financials,Country/Region: Brazil,"An Implied Temperature Rise of below 1.5°C indicates that B3 S.A. - BRASIL, BOLSA, BALCAO is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",B3 S.A. is Average among 63 companies in the diversified financials industry.,"B3 S.A. is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, CARBON EMISSIONS, ","CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, ",1.66%
223,1811,PT Bank Rakyat Indonesia (Persero) Tbk,2023-05-25,(BBRI),Industry: Banks,Country/Region: Indonesia,An Implied Temperature Rise of between 2°C and 3.2°C indicates that PT Bank Rakyat Indonesia (Persero) Tbk is misaligned with global climate goals and is in line with a business-as-usual scenario.,Bank BRI is Average among 198 companies in the banks industry.,"CORPORATE GOVERNANCE, FINANCING ENVIRONMENTAL IMPACT, ","CORPORATE BEHAVIOR, ","CONSUMER FINANCIAL PROTECTION, HUMAN CAPITAL DEVELOPMENT, ACCESS TO FINANCE, PRIVACY & DATA SECURITY, ",
224,1812,BRIDGESTONE CORPORATION,2023-05-25,(5108),Industry: Auto Components,Country/Region: Japan,An Implied Temperature Rise of below 1.5°C indicates that BRIDGESTONE CORPORATION is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Bridgestone is a leader among 32 companies in the auto components industry.,"LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ","PRODUCT SAFETY & QUALITY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, ",100.0%
225,1813,BRITANNIA INDUSTRIES LTD,2023-05-25,(BRITANNIA),Industry: Food Products,Country/Region: India,An Implied Temperature Rise of between 2°C and 3.2°C indicates that BRITANNIA INDUSTRIES LTD is misaligned with global climate goals and is in line with a business-as-usual scenario.,Britannia is Average among 81 companies in the food products industry.,"Britannia is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, OPPORTUNITIES IN NUTRITION & HEALTH, WATER STRESS, PACKAGING MATERIAL & WASTE, PRODUCT CARBON FOOTPRINT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, OPPORTUNITIES IN NUTRITION & HEALTH, WATER STRESS, PACKAGING MATERIAL & WASTE, PRODUCT CARBON FOOTPRINT, ","RAW MATERIAL SOURCING, ",
226,1815,ASSOCIATED BRITISH FOODS PLC,2023-05-25,(ABF),Industry: Food Products,Country/Region: United Kingdom,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that ASSOCIATED BRITISH FOODS PLC is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,ABF is a leader among 81 companies in the food products industry.,"SUPPLY CHAIN LABOR STANDARDS, ","CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, OPPORTUNITIES IN NUTRITION & HEALTH, WATER STRESS, RAW MATERIAL SOURCING, ","CORPORATE GOVERNANCE, PACKAGING MATERIAL & WASTE, PRODUCT CARBON FOOTPRINT, ",100.0%
227,1816,BRITISH AMERICAN TOBACCO P.L.C.,2023-05-25,(BATS),Industry: Tobacco,Country/Region: United Kingdom,An Implied Temperature Rise of below 1.5°C indicates that BRITISH AMERICAN TOBACCO P.L.C. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,BAT is Average among 9 companies in the tobacco industry.,"SUPPLY CHAIN LABOR STANDARDS, CHEMICAL SAFETY, ","CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, WATER STRESS, ","CORPORATE GOVERNANCE, ",100.0%
228,1817,The Saudi British Bank SJSC,2023-05-25,(1060),Industry: Banks,Country/Region: Saudi Arabia,An Implied Temperature Rise of between 2°C and 3.2°C indicates that The Saudi British Bank SJSC is misaligned with global climate goals and is in line with a business-as-usual scenario.,The Saudi British Bank SJSC is a laggard among 198 companies in the banks industry.,"CORPORATE GOVERNANCE, HUMAN CAPITAL DEVELOPMENT, FINANCING ENVIRONMENTAL IMPACT, PRIVACY & DATA SECURITY, ","CORPORATE BEHAVIOR, CONSUMER FINANCIAL PROTECTION, ACCESS TO FINANCE, ","The Saudi British Bank SJSC is not a leader on any of the Key Issues that we evaluated for its industry., ",
229,1818,BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),2023-05-25,(BLND),Industry: Real Estate Management & Services,Country/Region: United Kingdom,An Implied Temperature Rise of below 1.5°C indicates that BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE) is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,British Land is a leader among 80 companies in the real estate management & services industry.,"British Land is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE BEHAVIOR, OPPORTUNITIES IN GREEN BUILDING, HUMAN CAPITAL DEVELOPMENT, ","CORPORATE BEHAVIOR, OPPORTUNITIES IN GREEN BUILDING, HUMAN CAPITAL DEVELOPMENT, ","CORPORATE GOVERNANCE, HEALTH & SAFETY, ",100.0%
230,1819,"Sichuan Road & Bridge Group Co.,Ltd.",2023-05-25,(600039),Industry: Construction & Engineering,Country/Region: China,"An Implied Temperature Rise of between 2°C and 3.2°C indicates that Sichuan Road & Bridge Group Co.,Ltd. is misaligned with global climate goals and is in line with a business-as-usual scenario.","Sichuan Road & Bridge Co., Ltd (SRBC) is a laggard among 28 companies in the construction & engineering industry.","CORPORATE BEHAVIOR, HEALTH & SAFETY, ","CORPORATE GOVERNANCE, OPPORTUNITIES IN CLEAN TECH, ","Sichuan Road & Bridge Co., Ltd (SRBC) is not a leader on any of the Key Issues that we evaluated for its industry., ",
231,1919,SIME DARBY BERHAD,2023-05-25,(SIME),Industry: Industrial Conglomerates,Country/Region: Malaysia,An Implied Temperature Rise of above 3.2°C indicates that SIME DARBY BERHAD is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Sime Darby is a leader among 42 companies in the industrial conglomerates industry.,"OPPORTUNITIES IN CLEAN TECH, ","CORPORATE BEHAVIOR, LABOR MANAGEMENT, ","CORPORATE GOVERNANCE, ",
232,1920,Simcere Pharmaceutical Group Ltd,2023-05-25,(2096),Industry: Pharmaceuticals,Country/Region: China,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Simcere Pharmaceutical Group Ltd is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Simcere Pharmaceutical Group is Average among 77 companies in the pharmaceuticals industry.,"HUMAN CAPITAL DEVELOPMENT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, ACCESS TO HEALTH CARE, TOXIC EMISSIONS & WASTE, ","Simcere Pharmaceutical Group is not a leader on any of the Key Issues that we evaluated for its industry., ",
233,1922,"SIMON PROPERTY GROUP, INC.",2023-05-25,(SPG),Industry: Real Estate Management & Services,Country/Region: United States of America,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that SIMON PROPERTY GROUP, INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.",Simon is Average among 80 companies in the real estate management & services industry.,"CORPORATE GOVERNANCE, HUMAN CAPITAL DEVELOPMENT, ","CORPORATE BEHAVIOR, ","OPPORTUNITIES IN GREEN BUILDING, ",17.44%
234,1955,ASM International N.V.,2023-05-25,(ASM),Industry: Semiconductors & Semiconductor Equipment,Country/Region: Netherlands,An Implied Temperature Rise of between 2°C and 3.2°C indicates that ASM International N.V. is misaligned with global climate goals and is in line with a business-as-usual scenario.,ASM International is a leader among 91 companies in the semiconductors & semiconductor equipment industry.,"OPPORTUNITIES IN CLEAN TECH, ","CORPORATE BEHAVIOR, ","CORPORATE GOVERNANCE, HUMAN CAPITAL DEVELOPMENT, ",0.86%
235,1956,ASML Holding N.V.,2023-05-25,(ASML),Industry: Semiconductors & Semiconductor Equipment,Country/Region: Netherlands,An Implied Temperature Rise of between 2°C and 3.2°C indicates that ASML Holding N.V. is misaligned with global climate goals and is in line with a business-as-usual scenario.,ASML is a leader among 91 companies in the semiconductors & semiconductor equipment industry.,"ASML is not a laggard on any of the Key Issues that we evaluated for its industry., OPPORTUNITIES IN CLEAN TECH, ","OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, ",100.0%
