Title,Pages,Posted,Author,Date Written,University,Downloads,Abstract Views,Rank,Citation,Refrences,Abstract,Keywords,Citation Links,Download Link,Online PDF Link,Url,Related Journals,Related Journals Link,JEL Classification,Readers,Exports Save,News Mentions,"Share, Likes and comments",Tweets
"A Comparative Study of Taxation in Russia and Other CIS, East European and OECD Countries",31 Pages,Posted: 9 Apr 2004,Galina PreobragenskayaRobert W. McGeeVito TanziVito TanziGeorge TsibourisVito TanziPradeep MitraNicholas SternAsad AlamMark W. SundbergEra Dabla-norrisPaul WadeJorge Martinez-vazquezRobert Martin McnabLuca BarboneDomenico Junior MarchettiFareed M. A. Hassan,"
		
		
			
		
		

		
		
		
		
	Date Written: April 2004 Tax, public finance, Russia, CIS, East Europe, OECD, transition economies, tax misery, tax burden E62, H2, K34, O23, P2, P43, P5
		
		
	",Abu Dhabi University - Department of AccountingFayetteville State University - Department of Accounting,659.0,7467.0,48831.0,"
		
			Preobragenskaya,  Galina G. and McGee,  Robert W., A Comparative Study of Taxation in Russia and Other CIS, East European and OECD Countries (April 2004). Andreas School of Business Working Paper Series,  Available at SSRN:  or 
		
	",42.0,"This paper discusses the current state of taxation and public finance in the Russian Federation and compares some aspects of Russian public finance to other CIS and Eastern European countries and to selected OECD countries. The paper begins with a discussion of the present tax system and structure in Russia, then places the Russian system in perspective by comparing certain aspects of the Russian system to those of other countries. Comparisons of tax burden as a percentage of GDP are made with other former Soviet republics as well as selected OECD countries. A ranking is done to determine where Russia fits on a relative scale. Percentage breakdowns are also given by major tax category. Several comparisons are also made using the Tax Misery Index statistics. Interestingly, Russia does not fare too badly compared to some other countries in terms of tax burden and tax misery, although there is room for improvement. "," Tax, public finance, Russia, CIS, East Europe, OECD, transition economies, tax misery, tax burden",https://ssrn.com/abstract=526745http://dx.doi.org/10.2139/ssrn.526745 ,Delivery.cfm/SSRN_ID526745_code2139.pdf?abstractid=526745&mirid=1,Delivery.cfm/SSRN_ID526745_code2139.pdf?abstractid=526745&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=526745,"Tax Law: International & Comparative Tax eJournal,Sustainability & Economics eJournal,European Economics: Political Economy & Public Economics eJournal,European Public Law: National eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=217011,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1959207,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=992942,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=500621"," E62, H2, K34, O23, P2, P43, P5",6,14,3,0,0
The Durapolist Puzzle: Monopoly Power in Durable-Goods Market,52 Pages,Posted: 18 Jun 2007,Barak OrbachShane M. GreensteinJames B. WadeShane M. GreensteinJames B. WadeJohn M. De FigueiredoMargaret K. KyleEric R. EmchEric W. BondToshiaki IizukaEric W. BondToshiaki IizukaShane M. GreensteinMartin A. CarreeDavid S. ReitmanArthur FishmanRafael Rob,"
		
		
			
		
		

		
		
			
		
		
	 Antitrust, Durable Goods, Monopoly, Pricing, Time Inconsistency, Tying D11, D91, K21, L11, L12, L41, L68
		
		
	",University of Arizona,2150.0,13182.0,8402.0,"
		
			Orbach,  Barak, The Durapolist Puzzle: Monopoly Power in Durable-Goods Market. Yale Journal on Regulation, Vol. 21, pp. 67-118, 2004,  Available at SSRN: 
		
	",118.0,"This Article studies the durapolist, the durable-goods monopolist. Durapolists have long argued that, unlike perishable-goods monopolists, they face difficulties in exercising market power despite their monopolistic position. During the past thirty years, economists have extensively studied the individual arguments durapolists deploy regarding their inability to exert market power. While economists have confirmed some of these arguments, a general framework for analyzing durapolists as a distinct group of monopolists has not emerged. This Article offers such a framework. It first presents the problems of durapolists in exercising market power and explains how courts have treated these problems. It then analyzes the strategies durapolists have devised to overcome difficulties in acquiring and maintaining monopoly power and the legal implications of these strategies. This Article's major contributions are (a) expanding the conceptual scope of the durapolist problem, (b) presenting the durapolist problem as an explanation for many common business practices employed by durapolists, and (c) analyzing the legal implications of strategies employed to overcome the durapolist problem. "," Antitrust, Durable Goods, Monopoly, Pricing, Time Inconsistency, Tying",https://ssrn.com/abstract=496175,Delivery.cfm/SSRN_ID580241_code189248.pdf?abstractid=496175&mirid=1,Delivery.cfm/SSRN_ID580241_code189248.pdf?abstractid=496175&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=496175,,," D11, D91, K21, L11, L12, L41, L68",0,6,3,0,0
Valuing Companies by Cash Flow Discounting: Ten Methods and Nine Theories,16 Pages,Posted: 14 May 2004,Pablo FernandezPablo FernandezPablo FernandezPablo FernandezIan A. CooperKjell G. NyborgIan A. CooperKjell G. NyborgEnrique R. ArzacLawrence R. GlostenEnrique R. ArzacLawrence R. GlostenIan A. CooperKjell G. NyborgIan A. CooperKjell G. NyborgJoseph ThamIgnacio Velez-pareja,"
		
		
			
		
		

		
		
			
		
		
	Date Written: November 17, 2015 Previoulsy Titled: Valuing Companies by Cash Flow Discounting: Eight Methods and Six Theories discounted cash flows, APV, WACC, Equity Cash Flow, beta G12, G31, M21
		
		
	",IESE Business School,37701.0,117458.0,55.0,"
		
			Fernandez,  Pablo, Valuing Companies by Cash Flow Discounting: Ten Methods and Nine Theories (November 17, 2015). EFMA 2002 London Meetings,  Available at SSRN: 
		
	",23.0,"This paper shows 10 valuation methods based on equity cash flow; free cash flow; capital cash flow; APV (Adjusted Present Value); businessâ€™s risk-adjusted free cash flow and equity cash flow; risk-free rate-adjusted free cash flow and equity cash flow; economic profit; and EVA.All 10 methods always give the same value. This result is logical, as all the methods analyze the same reality under the same hypotheses; they differ only in the cash flows or parameters taken as the starting point for the valuation.The disagreements among the various theories of firm valuation arise from the calculation of the value of the tax shields (VTS). The paper shows and analyses 9 different theories on the calculation of the VTS, lists the most important assumptions and valuation equations according to each of these theories, and provides an example in which the VTS of a company with debt of 1,500 goes from zero to 745. "," discounted cash flows, APV, WACC, Equity Cash Flow, beta",https://ssrn.com/abstract=256987,Delivery.cfm/SSRN_ID3393772_code12696.pdf?abstractid=256987&mirid=1,Delivery.cfm/SSRN_ID3393772_code12696.pdf?abstractid=256987&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=256987,"Corporate Finance: Valuation, Capital Budgeting & Investment Policy eJournal",https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1508981," G12, G31, M21",353,311,3,7,11
Reflections on the Corporation as a Social Invention,22 Pages,Posted: 16 Dec 2003,Michael C. JensenWilliam H. MecklingRichard S. RubackMichael C. JensenGregor AndradeMark L. MitchellRandall MorckAndrei ShleiferAndrei ShleiferRobert W. VishnyAndrei ShleiferRobert W. VishnyRobert CommentG. William SchwertPaul M. HealyKrishna PalepuJarrad HarfordLarry H.p. LangRalph A. Walkling,"
		
		
			
		
		

		
		
			
		
		
	Date Written: September 30, 1983 Social responsibility, survival, definition of corporation, corporate democracy, federal chartering, Corporate Democracy Act, corporate control, government involvement
		
		
	","Harvard Business School; SSRN; National Bureau of Economic Research (NBER); European Corporate Governance Institute (ECGI); Harvard University - Accounting & Control UnitSimon School, University of Rochester (Deceased)",2422.0,14207.0,6933.0,"
		
			Jensen,  Michael C. and Meckling,  William H., Reflections on the Corporation as a Social Invention (September 30, 1983). Midland Corporate Finance Journal, Vol. 1, No. 3, Autumn 1983, Harvard Business School NOM Unit Working Paper No. 1983,  Available at SSRN:  or 
		
	",32.0,"The corporation as an organizational form is an enormously productive social invention. Partly because of its success it is under increasing attack from various quarters, often under the guise of protecting investors from self-interested managers. Some of these attacks are successful simply because the corporation is a poorly understood entity. This paper discusses what the corporation is, what it is not, and how certain misconceptions about the corporate form are fostered by its critics as part of their attack. "," Social responsibility, survival, definition of corporation, corporate democracy, federal chartering, Corporate Democracy Act, corporate control, government involvement",https://ssrn.com/abstract=244156http://dx.doi.org/10.2139/ssrn.244156 ,Delivery.cfm/SSRN_ID923621_code9.pdf?abstractid=244156&mirid=1,Delivery.cfm/SSRN_ID923621_code9.pdf?abstractid=244156&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=244156,"Harvard Business School: Negotiation, Organizations & Markets Unit Working Paper Series,Corporate Finance: Governance, Corporate Control & Organization eJournal,Corporate Law: Corporate & Takeover Law eJournal,50+20 Research Paper Series","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=205096,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1508972,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1475360,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2022281",,21,24,3,1,0
Corporate Social Responsibility - an Economic and Financial Framework,33 Pages,Posted: 5 Jan 2005,Geoffrey M. HealDiane-laure ArjaliÃ¨sCÃ©cile Goubet,"
		
		
			
		
		

		
		
		
		
	Date Written: December 2004 Corporate social responsibility, CSR, risk management, socially responsible investment, SRI, environmental responsibility D21, D61, M14
		
		
	",Columbia Business School - Finance and Economics; National Bureau of Economic Research (NBER),11526.0,42547.0,463.0,"
		
			Heal,  Geoffrey M., Corporate Social Responsibility - an Economic and Financial Framework (December 2004).  Available at SSRN:  or 
		
	",5.0,"I propose an economically coherent analysis of corporate social responsibility (CSR), and suggest how it is reflected in financial markets. CSR is defined as a program of actions taken to reduce externalized costs or to avoid distributional conflicts. It is an institution that has evolved in response to market failures, a Coasian solution to some problems associated with social costs. The analysis suggests that there is a resource-allocation role for CSR programs in cases of market failure through private-social cost differentials, and also in cases where distributional disagreements are likely to be strong. In some sectors of the economy private and social costs are roughly in line and distributional debates are unusual: here corporate social responsibility has little role to play. Such sectors are outnumbered by those where CSR can play a valuable role in ensuring that the invisible hand acts, as intended, to produce the social good. It can also act to improve corporate profits and guard against reputational risks. "," Corporate social responsibility, CSR, risk management, socially responsible investment, SRI, environmental responsibility",https://ssrn.com/abstract=642762http://dx.doi.org/10.2139/ssrn.642762 ,Delivery.cfm/SSRN_ID642762_code1614.pdf?abstractid=642762&mirid=1,Delivery.cfm/SSRN_ID642762_code1614.pdf?abstractid=642762&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=642762,"Columbia Business School Research Paper Series,S&P Global Market Intelligence Research Paper Series,New Institutional Economics eJournal,IO: Firm Structure, Purpose, Organization & Contracting eJournal,Behavioral & Experimental Economics eJournal,Environmental Economics eJournal,Investment & Social Responsibility eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1856578,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2978227,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1492258,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1517576,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504263,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1508720,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2001669"," D21, D61, M14",121,168,3,2,0
"Singapore's Regionalization Blueprint: A Case of Strategic Management, State Enterprise Network and Selective Intervention",27 Pages,Posted: 13 May 2003,Caroline YeohChee Sin KohCharmaine Jialing CaiHans C. Blomqvist,"
		
		
			
		
		

		
		
		
		
	 Regionalization, Industrial Parks, State Enterprise Networks, Singapore R10
		
		
	",Singapore Management University - Lee Kong Chian School of BusinessIndependentIndependent,529.0,3590.0,64542.0,"
		
			Yeoh,  Caroline and Koh,  Chee Sin and Cai,  Charmaine Jialing, Singapore's Regionalization Blueprint: A Case of Strategic Management, State Enterprise Network and Selective Intervention.  Available at SSRN:  or 
		
	",71.0,"Strategic management for economic development has been the hallmark of the Singapore 'success story'. State-led, market-driven intervention underscored the city-state's development strategies. This paper revisits this development blueprint in the context of Singapore's efforts at regionalization. The paper takes a closer look at Singapore's state enterprise strategy, and the 'portability' of the strategy - in the framework of Regionalization 2000 - beyond the city-state. It concludes that the calculated, schematised efforts, though remarkable, have been overly optimistic and have failed to engender equally compelling results, more often than not frustrated by the intricacies of socio-political realities in the host economies. "," Regionalization, Industrial Parks, State Enterprise Networks, Singapore",https://ssrn.com/abstract=380560http://dx.doi.org/10.2139/ssrn.380560 ,Delivery.cfm/SSRN_ID380560_code030318670.pdf?abstractid=380560&mirid=1,Delivery.cfm/SSRN_ID380560_code030318670.pdf?abstractid=380560&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=380560,"Development Economics: Microeconomic Issues in Developing Economies eJournal,Development Economics: Macroeconomic Issues in Developing Economies eJournal,Development Economics: Regional & Country Studies eJournal,Urban Economics & Regional Studies eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1979526,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1979556,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1979633,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1124103", R10,33,12,3,1,0
The Lethal Injection Quandary: How Medicine Has Dismantled the Death Penalty,81 Pages,Posted: 1 May 2007,Deborah W. Denno,"
		
		
			
		
		

		
		
			
		
		
	Date Written: March 25, 2011
		
		
	",Fordham University School of Law,2547.0,19593.0,6393.0,"
		
			Denno,  Deborah W., The Lethal Injection Quandary: How Medicine Has Dismantled the Death Penalty (March 25, 2011). Fordham Law Review, Vol. 76, No. 1, pp. 49-128, 2007, Fordham Legal Studies Research Paper No. 983732,  Available at SSRN: 
		
	",174.0,"On February 20, 2006, Michael Morales was hours away from execution in California when two anesthesiologists declined to participate in his lethal injection procedure, thereby halting all state executions. The events brought to the surface the long-running schism between law and medicine, raising the question of whether any beneficial connection between the professions ever existed in the execution context. History shows it seldom did. Decades of botched executions prove it.    
This Article examines how states ended up with such constitutionally vulnerable lethal injection procedures, suggesting that physician participation in executions, though looked upon with disdain, is more prevalent - and perhaps more necessary - than many would like to believe. The Article also reports the results of this author's unique nationwide study of lethal injection protocols and medical participation. The study demonstrates that states have continued to produce grossly inadequate protocols that severely restrict sufficient understanding of how executions are performed and heighten the likelihood of unconstitutionality. The analysis emphasizes in particular the utter lack of medical or scientific testing of lethal injection despite the early and continuous involvement of doctors but ongoing detachment of medical societies. Lastly, the Article discusses the legal developments that led up to the current rush of lethal injection lawsuits as well as the strong and rapid reverberations that followed, particularly with respect to medical involvement.    
This Article concludes with two recommendations. First, much like what occurred in this country when the first state switched to electrocution, there should be a nationwide study of proper lethal injection protocols. An independent commission consisting of a diverse group of qualified individuals, including medical personnel, should conduct a thorough assessment of lethal injection, especially the extent of physician participation. Second, this Article recommends that states take their execution procedures out of hiding. Such visibility would increase public scrutiny, thereby enhancing the likelihood of constitutional executions.    
By clarifying the standards used for determining what is constitutional in Baze v. Rees, the U.S. Supreme Court can then provide the kind of Eighth Amendment guidance states need to conduct humane lethal injections. ",,https://ssrn.com/abstract=983732,Delivery.cfm/SSRN_ID983732_code254274.pdf?abstractid=983732&mirid=1,Delivery.cfm/SSRN_ID983732_code254274.pdf?abstractid=983732&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=983732,"Fordham Law School Legal Studies Research Paper Series,Legal History eJournal,U.S. Constitutional Law: Rights & Liberties eJournal,Law & Humanities eJournal,Criminal Law eJournal,Corrections & Sentencing Law & Policy eJournal,Public Health Law & Policy eJournal,Health Care Law & Policy eJournal,Law, Institutions & Development eJournal,Law & Psychology eJournal,Law & Society: Public Law - Crime, Criminal Law, & Punishment eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=224476,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=261,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=945710,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=420800,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=930446,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=930437,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1492479,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1492475,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=392740,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=930224,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=991891",,4,38,3,0,0
Fatal in Theory and Strict in Fact: An Empirical Analysis of Strict Scrutiny in the Federal Courts,80 Pages,Posted: 18 Apr 2006,Adam WinklerKenneth L. Marcus,"
		
		
			
		
		

		
		
		
		
	 Strict scrutiny in federal courts, consitutional law
		
		
	","University of California, Los Angeles (UCLA) - School of Law",2760.0,18073.0,5595.0,"
		
			Winkler,  Adam, Fatal in Theory and Strict in Fact: An Empirical Analysis of Strict Scrutiny in the Federal Courts. Vanderbilt Law Review, Vol. 59, p. 793, 2006, UCLA School of Law Research Paper No. 06-14,  Available at SSRN: 
		
	",73.0,"A popular myth in American constitutional law is that the strict scrutiny standard of review applied to enforce rights such as free speech and equal protection is, in the famous words of Gerald Gunther, 'strict' in theory and fatal in fact. In recent years, however, this traditional understanding of strict scrutiny's inevitable deadliness has been challenged in high-profile cases such as Adarand Constructors v. Pena, where the Supreme Court expressed the wish to dispel the notion that strict scrutiny is 'strict' in theory, but fatal in fact, and Grutter v. Bollinger, where the Court turned wish into action and upheld an affirmative action policy under strict scrutiny. According to the Court in Grutter, when applying strict scrutiny, [c]ontext matters.    
This Article offers a systematic empirical study of strict scrutiny in the federal courts. Reporting the results of a census of every strict scrutiny decision published by the district, circuit, and Supreme courts between 1990 and 2003, this study shows that strict scrutiny is far from the inevitably deadly test imagined by the Gunther myth and more closely resembles the context-sensitive tool described by O'Connor. Overall, 30% of all applications of strict scrutiny - nearly one in three - result in the challenged law being upheld. Rather than fatal in fact, strict scrutiny is survivable in fact, and is so across constitutional doctrine: 27% of suspect classifications, 22% of free speech restrictions, 24% of fundamental rights infringements, 33% of freedom of association burdens, and 59% of religious liberty burdens adjudicated under strict scrutiny survive.    
Employing logistic regression, this Article shows that this high survival rate for a supposedly fatal standard of review is context-sensitive. Although political ideology and regional variation are found to have no significant impact on voting in strict scrutiny cases, courts are strongly influenced by the identity of the governmental actor. Most prominently, laws adopted by the federal government are far more likely to survive (50%) than those adopted by state (29%) or local (17%) governments. Surprisingly, however, strict scrutiny has become more fatal in the years since Adarand declared the standard to be survivable (from 40% in the early 1990s to 20% in the early 2000s).    
I also offer an in-depth look at strict scrutiny cases within each area of law where that standard is found, showing which types of laws are more likely to be upheld than others even within discrete doctrines. "," Strict scrutiny in federal courts, consitutional law",https://ssrn.com/abstract=897360,Delivery.cfm/SSRN_ID922783_code109222.pdf?abstractid=897360&mirid=1,Delivery.cfm/SSRN_ID922783_code109222.pdf?abstractid=897360&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=897360,"University of California, Los Angeles School of Law, Public Law & Legal Theory Research Paper Series,U.S. Constitutional Law: Interpretation & Judicial Review eJournal,Empirical Studies eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=259310,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=945709,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=2123644",,14,13,3,0,6
Federal Rules of Statutory Interpretation,75 Pages,Posted: 23 Jun 2005,Nicholas Quinn Rosenkranz,"
		
		
			
		
		

		
		
		
		
	
		
		
	",Georgetown University Law Center,2192.0,16874.0,8148.0,"
		
			Rosenkranz,  Nicholas Quinn, Federal Rules of Statutory Interpretation. Harvard Law Review, Vol. 115, p. 2085, 2002,  Available at SSRN: 
		
	",,"Federal statutes do not come with instructions, but maybe they should. For as long as there have been statutes, lawyers and laymen have puzzled over their inevitable ambiguities.  Gradually, case by case, courts have developed assorted tools of interpretation.  Scholars, meanwhile, have conceived esoteric theories of how best to resolve statutory ambiguity.  And the doctrine and the scholarship have become elaborate and sophisticated. But the very richness of this intellectual landscape has resulted in unpredictability and confusion. As theories and judges have multiplied, it has become ever more difficult to predict which judge will apply which theory to which case. And after centuries of judicial and scholarly effort, there is still no generally accepted theory of statutory interpretation.    
The central, unquestioned premise in this field is that the judiciary is the proper branch to design and implement tools of statutory interpretation. Scholars have unreflectively assumed as much, which is why, almost uniformly, they have implicitly aimed their work at the courts. This Article challenges that assumption. It asks whether Congress can and should help select the tools for interpreting federal statutes. The constitutional question turns out to be as important as the answer, because it adds a vital and neglected dimension to the debate about statutory interpretation. To ask whether Congress may codify a particular interpretive method is precisely to ask whether the Constitution requires the method that is to be displaced. This inquiry proves essential in locating statutory interpretation under the constitutional firmament. This Article concludes that Congress has constitutional power to codify some tools of statutory interpretation. Congress has used this power in the past, but only sporadically and unselfconsciously, at the periphery of the United States Code. The power itself is vast, however, and could transform the landscape of statutory interpretation. Because this power has received minimal systematic analysis, there is extraordinary potential for imprudent or unconstitutional overreaching. But used wisely, congressional power to legislate interpretive strategies may improve legislative-judicial communication and thus bring our legal system closer to its democratic ideal.    
This article therefore advocates codifying certain interpretive tools and techniques. And it suggests that the best form of codification would be as a set of federal rules: the Federal Rules of Statutory Interpretation. ",,https://ssrn.com/abstract=748207,Delivery.cfm/SSRN_ID748207_code603.pdf?abstractid=748207&mirid=1,Delivery.cfm/SSRN_ID748207_code603.pdf?abstractid=748207&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=748207,"U.S. Constitutional Law: Separation of Powers & Federalism eJournal,Litigation & Procedure eJournal,Young Scholars Law eJournal,Law & Courts eJournal,Legislation & Statutory Interpretation eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=945712,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=206150,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1475435,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=987429,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1504415",,12,26,3,0,21
The Economic Costs of the Iraq War: An Appraisal Three Years after the Beginning of the Conflict,37 Pages,Posted: 12 Jan 2006,Linda BilmesJoseph E. StiglitzJustin WolfersEric ZitzewitzJustin WolfersEric ZitzewitzAndrew LeighJustin WolfersAndrew LeighJustin WolfersCharles F. ManskiJustin WolfersEric ZitzewitzJustin WolfersEric ZitzewitzJustin WolfersEric ZitzewitzJoel B. SlemrodTimothy GreimelErik C. SnowbergJustin Wolfers,"
		
		
			
		
		

		
		
		
		
	
		
	Date Written: January 2006 Economics - Macroeconomics, International Affairs/Globalization, International Security, Public Management
		
		
	",Harvard University - Harvard Kennedy School (HKS)Columbia Business School - Finance and Economics; National Bureau of Economic Research (NBER),687.0,6189.0,39704.0,"
		
			Bilmes,  Linda and Stiglitz,  Joseph E., The Economic Costs of the Iraq War: An Appraisal Three Years after the Beginning of the Conflict (January 2006). KSG Working Paper No. 06-002,  Available at SSRN:  or 
		
	",15.0,"Three years ago, as America was preparing to go to war in Iraq, there were few discussions of the likely costs. When Larry Lindsey, President Bush's economic adviser, suggested that they might reach $200 billion, there was a quick response from the White House: that number was a gross overestimation. Deputy Defense Secretary Paul Wolfowitz claimed that Iraq could ""really finance its own reconstruction,"" apparently both underestimating what was required and the debt burden facing the country. Lindsey went on to say that ""The successful prosecution of the war would be good for the economy."" Many aspects of the Iraq venture have turned out differently from what was purported before the war: there were no weapons of mass destruction, no clear link between Al Qaeda and Iraq, no imminent danger that would warrant a pre-emptive war. Whether Americans were greeted as liberators or not, there is evidence that that they are now viewed as occupiers. Stability has not been established. Clearly, the benefits of the War have been markedly different from those claimed. So too for the costs. It now appears that Lindsey was indeed wrong - by grossly underestimating the costs.... The Congressional Budget Office has now estimated that in their central, mid-range scenario, the Iraq war will cost over $266 billion more in the next decade, putting the direct costs of the war in the range of $500 billion. These estimates, however, underestimate the War's true costs to America by a wide margin. In this paper, we attempt to provide a range of estimates for what those costs have been, and are likely to be. Even taking a conservative approach, we have been surprised at how large they are. We can state, with some degree of confidence, that they exceed a trillion dollars. "," Economics - Macroeconomics, International Affairs/Globalization, International Security, Public Management",https://ssrn.com/abstract=832646http://dx.doi.org/10.2139/ssrn.832646 ,Delivery.cfm/SSRN_ID832646_code170891.pdf?abstractid=832646&mirid=1,Delivery.cfm/SSRN_ID832646_code170891.pdf?abstractid=832646&mirid=1&type=2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=832646,"Columbia Business School Research Paper Series,John F. Kennedy School of Government Faculty Research Working Paper Series,National Security & Foreign Relations Law eJournal,Strategy & Macroeconomic Policy eJournal","https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1856578,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=245050,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=571048,https://papers.ssrn.com/sol3/JELJOUR_Results.cfm?form_name=journalBrowse&journal_id=1358777",,28,27,3,0,0
